Fecha,Precio
01-01-2011,30.89
01-02-2011,31.86
01-03-2011,34.52
01-04-2011,35.47
01-05-2011,35.61
01-06-2011,34.76
01-07-2011,34.97
01-08-2011,35.14
01-09-2011,34.74
01-10-2011,34.11
01-11-2011,34.56
01-12-2011,33.37
01-01-2012,33.22
01-02-2012,34.8
01-03-2012,36.95
01-04-2012,37.56
01-05-2012,35.85
01-06-2012,33.72
01-07-2012,34.71
01-08-2012,35.28
01-09-2012,37.67
01-10-2012,36.69
01-11-2012,33.88
01-12-2012,33.87
01-01-2013,33.69
01-02-2013,35.44
01-03-2013,35.36
01-04-2013,34.45
01-05-2013,34.6
01-06-2013,34.25
01-07-2013,35.64
01-08-2013,36.33
01-09-2013,36.03
01-10-2013,34.14
01-11-2013,32.96
01-12-2013,35.05
01-01-2014,34.84
01-02-2014,33.93
01-03-2014,34.26
01-04-2014,35.08
01-05-2014,34.7
01-06-2014,35.36
01-07-2014,35.61
01-08-2014,34.03
01-09-2014,33.11
01-10-2014,31.35
01-11-2014,29.38
01-12-2014,25.88
01-01-2015,21.74
01-02-2015,23.25
01-03-2015,24.99
01-04-2015,25.55
01-05-2015,26.86
01-06-2015,27.1
01-07-2015,27.14
01-08-2015,25.2
01-09-2015,23.27
01-10-2015,22.86
01-11-2015,21.97
01-12-2015,21.03
01-01-2016,20.39
01-02-2016,19.38
01-03-2016,21.02
01-04-2016,22.25
01-05-2016,23.1
01-06-2016,23.66
01-07-2016,22.53
01-08-2016,22.34
01-09-2016,22.99
01-10-2016,23.36
01-11-2016,22.68
01-12-2016,23.61
01-01-2017,24.69
01-02-2017,23.88
01-03-2017,23.42
01-04-2017,24.2
01-05-2017,23.64
01-06-2017,23.33
01-07-2017,23.15
01-08-2017,23.73
01-09-2017,25.32
01-10-2017,24.44
01-11-2017,25.37
01-12-2017,25.11
01-01-2018,25.83
01-02-2018,25.78
01-03-2018,25.8
01-04-2018,27.1
01-05-2018,28.29
01-06-2018,27.95
01-07-2018,27.87
01-08-2018,27.95
01-09-2018,28.21
01-10-2018,28.54
01-11-2018,25.87
01-12-2018,23.81
01-01-2019,23.03
01-02-2019,23.87
01-03-2019,25.8
01-04-2019,27.82
01-05-2019,27.88
01-06-2019,26.44
01-07-2019,27.13
01-08-2019,26.07
01-09-2019,25.85
01-10-2019,25.61
01-11-2019,25.54
01-12-2019,25.39
01-01-2020,25.6
01-02-2020,24.51
01-03-2020,23.6
01-04-2020,18.97
01-05-2020,18.74
01-06-2020,21.08
01-07-2020,22.55
01-08-2020,22.33
01-09-2020,22.14
01-10-2020,22.3
01-11-2020,21.21
01-12-2020,22.76
01-01-2021,23.82
01-02-2021,25.53
01-03-2021,27.70
01-04-2021,28.03
01-05-2021,28.80
01-06-2021,28.85
01-07-2021,29.49
01-08-2021,29.91
01-09-2021,30.23
01-10-2021,31.00
01-11-2021,31.55
01-12-2021,29.82
